# Ag,Au,Cu,Ir,Pd,Pt,Rh,Ru
0.1145,0.1365,0.1366,0.1454,0.1410,0.1410,0.1498,0.0352
0.1182,0.1318,0.1409,0.1500,0.1409,0.1409,0.1455,0.0318
0.1198,0.1290,0.1428,0.1521,0.1382,0.1429,0.1429,0.0323
0.1204,0.1296,0.1435,0.1528,0.1343,0.1389,0.1481,0.0324
0.1215,0.1308,0.1449,0.1542,0.1355,0.1355,0.1449,0.0327
0.1209,0.1302,0.1442,0.1535,0.1395,0.1349,0.1442,0.0326
0.1215,0.1308,0.1402,0.1542,0.1402,0.1355,0.1449,0.0327
0.1256,0.1302,0.1395,0.1535,0.1395,0.1349,0.1442,0.0326
0.1256,0.1302,0.1395,0.1582,0.1395,0.1349,0.1395,0.0326
0.1256,0.1302,0.1396,0.1628,0.1395,0.1349,0.1395,0.0279
0.1256,0.1302,0.1396,0.1628,0.1395,0.1349,0.1395,0.0279
0.1262,0.1308,0.1402,0.1636,0.1402,0.1308,0.1402,0.0280
0.1268,0.1315,0.1408,0.1643,0.1408,0.1315,0.1408,0.0235
0.1315,0.1315,0.1361,0.1643,0.1408,0.1315,0.1408,0.0235
0.1333,0.1333,0.1381,0.1667,0.1429,0.1286,0.1381,0.0190
0.1298,0.1346,0.1394,0.1635,0.1442,0.1298,0.1394,0.0193
0.1311,0.1359,0.1408,0.1651,0.1456,0.1262,0.1359,0.0194
0.1304,0.1353,0.1401,0.1691,0.1449,0.1256,0.1353,0.0193
0.1311,0.1408,0.1408,0.1699,0.1456,0.1213,0.1311,0.0194
0.1317,0.1415,0.1415,0.1707,0.1415,0.1219,0.1317,0.0195
0.1317,0.1415,0.1415,0.1707,0.1415,0.1219,0.1317,0.0195
0.1323,0.1422,0.1422,0.1618,0.1422,0.1274,0.1323,0.0196
0.1330,0.1428,0.1428,0.1626,0.1429,0.1281,0.1281,0.0197
0.1323,0.1422,0.1422,0.1618,0.1471,0.1274,0.1274,0.0196
0.1337,0.1436,0.1436,0.1634,0.1485,0.1287,0.1237,0.0148
0.1350,0.1400,0.1450,0.1650,0.1450,0.1300,0.1250,0.0150
0.1364,0.1364,0.1465,0.1667,0.1465,0.1262,0.1262,0.0151
0.1364,0.1364,0.1465,0.1667,0.1465,0.1262,0.1262,0.0151
0.1414,0.1313,0.1465,0.1667,0.1465,0.1262,0.1263,0.0151
0.1378,0.1326,0.1480,0.1633,0.1480,0.1275,0.1275,0.0153
0.1364,0.1364,0.1515,0.1616,0.1465,0.1262,0.1263,0.0151
0.1377,0.1378,0.1531,0.1633,0.1378,0.1275,0.1275,0.0153
0.1384,0.1385,0.1487,0.1641,0.1385,0.1282,0.1282,0.0154
0.1436,0.1384,0.1436,0.1641,0.1385,0.1282,0.1282,0.0154
0.1421,0.1371,0.1472,0.1624,0.1371,0.1320,0.1269,0.0152
0.1421,0.1421,0.1421,0.1632,0.1421,0.1316,0.1263,0.0105
0.1444,0.1390,0.1390,0.1658,0.1444,0.1337,0.1230,0.0107
0.1489,0.1436,0.1383,0.1649,0.1383,0.1383,0.1170,0.0107
0.1489,0.1436,0.1383,0.1649,0.1383,0.1383,0.1170,0.0107
0.1489,0.1436,0.1383,0.1702,0.1383,0.1330,0.1170,0.0107
0.1436,0.1489,0.1383,0.1702,0.1383,0.1330,0.1170,0.0107
0.1436,0.1436,0.1383,0.1702,0.1436,0.1330,0.1170,0.0107
0.1398,0.1451,0.1398,0.1667,0.1452,0.1344,0.1183,0.0107
0.1398,0.1451,0.1398,0.1667,0.1452,0.1344,0.1183,0.0107
0.1398,0.1451,0.1398,0.1667,0.1452,0.1344,0.1183,0.0107
0.1398,0.1451,0.1398,0.1667,0.1452,0.1344,0.1183,0.0107
0.1398,0.1452,0.1344,0.1774,0.1452,0.1290,0.1183,0.0107
0.1460,0.1460,0.1351,0.1784,0.1459,0.1297,0.1135,0.0054
0.1468,0.1468,0.1359,0.1739,0.1467,0.1304,0.1141,0.0054
0.1428,0.1483,0.1374,0.1758,0.1429,0.1319,0.1154,0.0055
0.1437,0.1492,0.1326,0.1768,0.1436,0.1326,0.1160,0.0055
0.1397,0.1508,0.1341,0.1788,0.1452,0.1285,0.1173,0.0056
0.1452,0.1508,0.1341,0.1788,0.1453,0.1285,0.1117,0.0056
0.1452,0.1508,0.1229,0.1788,0.1453,0.1341,0.1117,0.0112
0.1452,0.1508,0.1229,0.1788,0.1453,0.1285,0.1173,0.0112
0.1477,0.1477,0.1250,0.1818,0.1421,0.1364,0.1136,0.0057
0.1469,0.1469,0.1243,0.1808,0.1412,0.1356,0.1130,0.0113
0.1486,0.1543,0.1257,0.1829,0.1371,0.1314,0.1143,0.0057
0.1488,0.1548,0.1250,0.1905,0.1369,0.1310,0.1071,0.0059
0.1553,0.1553,0.1118,0.1926,0.1366,0.1366,0.1056,0.0062
0.1519,0.1582,0.1139,0.1899,0.1329,0.1393,0.1076,0.0063
0.1529,0.1656,0.1146,0.1911,0.1337,0.1338,0.1019,0.0064
0.1548,0.1677,0.1161,0.1936,0.1290,0.1355,0.0968,0.0065
0.1558,0.1623,0.1234,0.1883,0.1299,0.1364,0.0974,0.0065
0.1579,0.1579,0.1250,0.1908,0.1316,0.1381,0.0921,0.0066
0.1589,0.1656,0.1258,0.1921,0.1258,0.1391,0.0861,0.0066
0.1600,0.1667,0.1267,0.1933,0.1267,0.1333,0.0867,0.0066
0.1611,0.1544,0.1208,0.1946,0.1275,0.1342,0.0873,0.0201
0.1565,0.1565,0.1224,0.1973,0.1292,0.1361,0.0884,0.0136
0.1517,0.1586,0.1242,0.2000,0.1310,0.1379,0.0897,0.0069
0.1507,0.1575,0.1301,0.1986,0.1301,0.1370,0.0891,0.0069
0.1468,0.1608,0.1259,0.2028,0.1329,0.1329,0.0909,0.0070
0.1468,0.1608,0.1259,0.2028,0.1329,0.1329,0.0909,0.0070
0.1479,0.1620,0.1268,0.1972,0.1338,0.1338,0.0915,0.0070
0.1479,0.1620,0.1268,0.1972,0.1338,0.1338,0.0915,0.0070
0.1479,0.1620,0.1268,0.1972,0.1338,0.1338,0.0915,0.0070
0.1487,0.1689,0.1216,0.1959,0.1284,0.1351,0.0946,0.0068
0.1486,0.1757,0.1216,0.1959,0.1284,0.1284,0.0946,0.0068
0.1477,0.1745,0.1208,0.1946,0.1342,0.1275,0.0940,0.0067
0.1497,0.1769,0.1088,0.1973,0.1361,0.1292,0.0952,0.0068
0.1497,0.1769,0.1088,0.1973,0.1429,0.1292,0.0884,0.0068
0.1497,0.1769,0.1088,0.1973,0.1429,0.1292,0.0884,0.0068
0.1497,0.1837,0.1020,0.1973,0.1429,0.1292,0.0884,0.0068
0.1544,0.1812,0.1074,0.1946,0.1409,0.1275,0.0873,0.0067
0.1497,0.1837,0.1020,0.1973,0.1429,0.1292,0.0884,0.0068
0.1497,0.1837,0.1020,0.1973,0.1429,0.1292,0.0884,0.0068
0.1497,0.1837,0.1020,0.1973,0.1429,0.1292,0.0884,0.0068
0.1503,0.1830,0.1046,0.1895,0.1438,0.1242,0.0915,0.0131
0.1523,0.1788,0.1060,0.1921,0.1457,0.1258,0.0927,0.0066
0.1600,0.1800,0.1067,0.1933,0.1400,0.1267,0.0867,0.0066
0.1600,0.1800,0.1000,0.1933,0.1400,0.1333,0.0867,0.0067
0.1538,0.1888,0.0979,0.1958,0.1329,0.1399,0.0839,0.0070
0.1560,0.1915,0.0993,0.1915,0.1277,0.1418,0.0851,0.0071
0.1571,0.1929,0.0929,0.1929,0.1286,0.1428,0.0857,0.0071
0.1522,0.1957,0.0942,0.1884,0.1304,0.1449,0.0870,0.0072
0.1522,0.1956,0.0870,0.1884,0.1304,0.1522,0.0870,0.0072
0.1544,0.1912,0.0882,0.1838,0.1324,0.1544,0.0882,0.0074
0.1418,0.1940,0.0895,0.1866,0.1343,0.1567,0.0896,0.0075
0.1418,0.1940,0.0821,0.1940,0.1343,0.1567,0.0896,0.0075
0.1429,0.1955,0.0752,0.1955,0.1353,0.1579,0.0902,0.0075
0.1439,0.1970,0.0682,0.1894,0.1363,0.1667,0.0909,0.0076
0.1450,0.1985,0.0687,0.1909,0.1374,0.1679,0.0916,0.0000
0.1450,0.1985,0.0687,0.1909,0.1374,0.1679,0.0916,0.0000
0.1579,0.1955,0.0677,0.1880,0.1353,0.1654,0.0902,0.0000
0.1591,0.1894,0.0682,0.1894,0.1363,0.1667,0.0909,0.0000
0.1591,0.1894,0.0682,0.1894,0.1363,0.1667,0.0909,0.0000
0.1567,0.1866,0.0746,0.1866,0.1343,0.1716,0.0896,0.0000
0.1629,0.1852,0.0741,0.1852,0.1333,0.1704,0.0889,0.0000
0.1618,0.1912,0.0735,0.1838,0.1324,0.1691,0.0882,0.0000
0.1629,0.1926,0.0667,0.1852,0.1333,0.1704,0.0889,0.0000
0.1630,0.1926,0.0592,0.1926,0.1333,0.1704,0.0889,0.0000
0.1716,0.1866,0.0597,0.1866,0.1343,0.1716,0.0896,0.0000
0.1716,0.1866,0.0672,0.1866,0.1269,0.1716,0.0895,0.0000
0.1729,0.1880,0.0602,0.1880,0.1278,0.1729,0.0902,0.0000
0.1716,0.1866,0.0522,0.2015,0.1269,0.1716,0.0896,0.0000
0.1704,0.1852,0.0518,0.2000,0.1333,0.1704,0.0815,0.0074
0.1704,0.1778,0.0592,0.2000,0.1407,0.1704,0.0815,0.0000
0.1743,0.1818,0.0530,0.1970,0.1364,0.1742,0.0833,0.0000
0.1756,0.1832,0.0534,0.2061,0.1298,0.1756,0.0763,0.0000
0.1743,0.1818,0.0530,0.2046,0.1288,0.1742,0.0833,0.0000
0.1642,0.1940,0.0522,0.2015,0.1343,0.1717,0.0821,0.0000
0.1630,0.1926,0.0518,0.2000,0.1407,0.1704,0.0815,0.0000
0.1556,0.1926,0.0518,0.2000,0.1407,0.1778,0.0815,0.0000
0.1533,0.1970,0.0511,0.1971,0.1387,0.1825,0.0803,0.0000
0.1544,0.1985,0.0515,0.1985,0.1397,0.1765,0.0809,0.0000
0.1567,0.1940,0.0448,0.2015,0.1418,0.1791,0.0821,0.0000
0.1515,0.1970,0.0379,0.2046,0.1439,0.1818,0.0833,0.0000
0.1515,0.1970,0.0379,0.2046,0.1439,0.1818,0.0833,0.0000
0.1460,0.1825,0.0365,0.2116,0.1679,0.1752,0.0803,0.0000
0.1481,0.1926,0.0370,0.2148,0.1704,0.1704,0.0667,0.0000
0.1471,0.1985,0.0368,0.2132,0.1691,0.1691,0.0662,0.0000
0.1471,0.1985,0.0368,0.2132,0.1691,0.1691,0.0662,0.0000
0.1481,0.2000,0.0370,0.2148,0.1704,0.1630,0.0667,0.0000
0.1460,0.1971,0.0365,0.2116,0.1752,0.1606,0.0730,0.0000
0.1470,0.1985,0.0368,0.2132,0.1765,0.1618,0.0662,0.0000
0.1481,0.2000,0.0370,0.2148,0.1704,0.1630,0.0667,0.0000
0.1470,0.2059,0.0368,0.2132,0.1691,0.1618,0.0662,0.0000
0.1407,0.2074,0.0370,0.2148,0.1704,0.1630,0.0667,0.0000
0.1377,0.2101,0.0362,0.2174,0.1667,0.1594,0.0725,0.0000
0.1397,0.2059,0.0441,0.2132,0.1691,0.1618,0.0662,0.0000
0.1397,0.2059,0.0441,0.2132,0.1691,0.1618,0.0662,0.0000
0.1397,0.1985,0.0368,0.2206,0.1691,0.1618,0.0735,0.0000
0.1407,0.2000,0.0296,0.2148,0.1778,0.1630,0.0741,0.0000
0.1418,0.2015,0.0224,0.2164,0.1791,0.1642,0.0746,0.0000
0.1471,0.1985,0.0221,0.2132,0.1765,0.1618,0.0735,0.0073
0.1418,0.2015,0.0224,0.2164,0.1791,0.1642,0.0746,0.0000
0.1364,0.1970,0.0227,0.2197,0.1818,0.1667,0.0757,0.0000
0.1374,0.1909,0.0229,0.2214,0.1832,0.1679,0.0763,0.0000
0.1364,0.1894,0.0227,0.2197,0.1818,0.1667,0.0757,0.0076
0.1385,0.1923,0.0231,0.2154,0.1846,0.1692,0.0769,0.0000
0.1374,0.1985,0.0153,0.2138,0.1832,0.1679,0.0763,0.0076
0.1385,0.2000,0.0154,0.2154,0.1846,0.1692,0.0769,0.0000
0.1395,0.1938,0.0155,0.2171,0.1860,0.1628,0.0775,0.0078
0.1417,0.1969,0.0157,0.2126,0.1890,0.1654,0.0787,0.0000
0.1473,0.1938,0.0155,0.2093,0.1938,0.1628,0.0775,0.0000
0.1406,0.1953,0.0156,0.2188,0.1875,0.1641,0.0781,0.0000
0.1405,0.1984,0.0083,0.2066,0.1983,0.1653,0.0826,0.0000
0.1441,0.1949,0.0085,0.2034,0.2034,0.1610,0.0847,0.0000
0.1639,0.1967,0.0164,0.1967,0.1885,0.1558,0.0820,0.0000
0.1653,0.1984,0.0083,0.1983,0.1901,0.1570,0.0826,0.0000
0.1681,0.1933,0.0084,0.2017,0.1933,0.1512,0.0840,0.0000
0.1653,0.1901,0.0083,0.1983,0.1901,0.1653,0.0826,0.0000
0.1680,0.1849,0.0084,0.2017,0.1849,0.1681,0.0840,0.0000
0.1667,0.1833,0.0083,0.1917,0.1917,0.1667,0.0833,0.0083
0.1750,0.1833,0.0083,0.1917,0.1917,0.1667,0.0833,0.0000
0.1624,0.1880,0.0086,0.1880,0.1966,0.1709,0.0855,0.0000
0.1610,0.1864,0.0085,0.1864,0.2034,0.1695,0.0848,0.0000
0.1610,0.1864,0.0085,0.1864,0.2034,0.1695,0.0848,0.0000
0.1680,0.1849,0.0084,0.1849,0.2017,0.1681,0.0840,0.0000
0.1680,0.1765,0.0084,0.1849,0.2017,0.1681,0.0840,0.0084
0.1709,0.1795,0.0086,0.1795,0.2051,0.1709,0.0855,0.0000
0.1709,0.1795,0.0086,0.1795,0.2051,0.1709,0.0855,0.0000
0.1709,0.1880,0.0086,0.1795,0.1966,0.1709,0.0855,0.0000
0.1680,0.1849,0.0168,0.1765,0.1933,0.1765,0.0840,0.0000
0.1680,0.1849,0.0168,0.1765,0.1933,0.1765,0.0840,0.0000
0.1709,0.1795,0.0085,0.1795,0.1966,0.1795,0.0855,0.0000
0.1724,0.1811,0.0000,0.1724,0.2069,0.1810,0.0862,0.0000
0.1724,0.1724,0.0000,0.1724,0.2155,0.1811,0.0862,0.0000
0.1739,0.1652,0.0000,0.1826,0.2087,0.1826,0.0870,0.0000
0.1739,0.1652,0.0000,0.1826,0.2087,0.1826,0.0870,0.0000
0.1754,0.1667,0.0000,0.1842,0.2105,0.1842,0.0790,0.0000
0.1667,0.1667,0.0088,0.1842,0.2105,0.1842,0.0789,0.0000
0.1682,0.1681,0.0089,0.1858,0.2124,0.1858,0.0708,0.0000
0.1697,0.1696,0.0089,0.1875,0.2054,0.1875,0.0714,0.0000
0.1697,0.1696,0.0089,0.1786,0.2054,0.1964,0.0714,0.0000
0.1696,0.1786,0.0089,0.1786,0.2054,0.1875,0.0714,0.0000
0.1711,0.1802,0.0000,0.1802,0.2072,0.1892,0.0721,0.0000
0.1711,0.1802,0.0000,0.1892,0.2072,0.1802,0.0721,0.0000
0.1637,0.1818,0.0000,0.1909,0.2091,0.1818,0.0727,0.0000
0.1621,0.1802,0.0000,0.1892,0.2072,0.1892,0.0721,0.0000
0.1607,0.1875,0.0000,0.1875,0.1965,0.1875,0.0714,0.0089
0.1560,0.1926,0.0000,0.1926,0.1927,0.1927,0.0734,0.0000
0.1468,0.2018,0.0000,0.1926,0.1927,0.1927,0.0734,0.0000
0.1455,0.2000,0.0000,0.1909,0.1909,0.1909,0.0727,0.0091
0.1376,0.2018,0.0092,0.1926,0.1927,0.1927,0.0734,0.0000
0.1402,0.2056,0.0000,0.1962,0.1963,0.1869,0.0748,0.0000
0.1402,0.2056,0.0000,0.1962,0.1963,0.1869,0.0748,0.0000
0.1402,0.2149,0.0000,0.1963,0.1869,0.1869,0.0748,0.0000
0.1402,0.2149,0.0093,0.1963,0.1776,0.1869,0.0748,0.0000
0.1402,0.2149,0.0093,0.1963,0.1776,0.1869,0.0748,0.0000
0.1402,0.2149,0.0000,0.1963,0.1776,0.1869,0.0748,0.0093
0.1402,0.2149,0.0000,0.1963,0.1776,0.1869,0.0748,0.0093
0.1415,0.2170,0.0000,0.1981,0.1792,0.1887,0.0755,0.0000
